序号,产品图,名称,电池型号/节数,单位,价格,数量,规格,金额,建议价,市值,条码,重量KG
T-A-037.1,/product_images/image_row_0041.jpg,第六感 超薄隐形PRO3只装（LBC3-TJ）,无,盒,3.9,,3只/盒,=G41*F41,18,=J41*G41,6932564455566,0.03
T-A-038,/product_images/image_row_0042.jpg,Durex-杜蕾斯活力2只装,无,盒,7.085,,2只/盒,=G42*F42,28,=J42*G42,6923146114155,0.03
T-A-039,/product_images/image_row_0043.jpg,杰士邦 超薄玻尿酸2只装（JHB2-TJ）,无,盒,4.68,,2只/盒,=G43*F43,25,=J43*G43,6927099420936,0.02
T-A-039.1,/product_images/image_row_0044.jpg,杰士邦 超薄玻尿酸10只装（JHB10-TJ）,无,盒,17.2315,,10只/盒,=G44*F44,38,=J44*G44,6927099420967,0.045
T-A-040,/product_images/image_row_0045.jpg,杰士邦 浪漫环纹3只装（JH3）,无,盒,6.89,,3只/盒,=G45*F45,28,=J45*G45,6927099400242,0.03
T-A-040.1,/product_images/image_row_0046.jpg,杰士邦 浪漫环纹10只装 (JH10),无,盒,20.54,,10只/盒,=G46*F46,48,=J46*G46,6927099415642,0.04
T-A-041,/product_images/image_row_0047.jpg,杰士邦 超润玻尿酸3只装（JHA3）,无,盒,8.125,,3只/盒,=G47*F47,28,=J47*G47,6927099410432,0.03
T-A-041.1,/product_images/image_row_0048.jpg,杰士邦 超润玻尿酸10只装（JHA10）,无,盒,23.53,,10只/盒,=G48*F48,48,=J48*G48,6927099410449,0.04
T-A-042,/product_images/image_row_0049.jpg,杰士邦 紧型超薄3只装（JSM3）,无,盒,7.54,,3只/盒,=G49*F49,28,=J49*G49,6927099405506,0.03
T-A-042.1,/product_images/image_row_0050.jpg,杰士邦 紧型超薄12只装（JSM12）,无,盒,23.4,,12只/盒,=G50*F50,48,=J50*G50,6927099405513,0.04
T-A-043,/product_images/image_row_0051.jpg,杰士邦 喵舌颗粒多3只装（JOO3）,无,盒,11.7,,3只/盒,=G51*F51,28,=J51*G51,6927099411231,0.03
T-A-043.1,/product_images/image_row_0052.jpg,杰士邦 喵舌颗粒多6只装（JOO6）,无,盒,21.06,,6只/盒,=G52*F52,48,=J52*G52,6927099411248,0.04
T-A-043.2,/product_images/image_row_0053.jpg,杰士邦 喵舌颗粒多12只装（JOO12）,无,盒,33.54,,12只/盒,=G53*F53,69.9,=J53*G53,6927099411255,0.05
T-A-044,/product_images/image_row_0054.jpg,杰士邦 巨龙环纹3只装（JDG3）,无,盒,12.35,,3只/盒,=G54*F54,38,=J54*G54,6927099414546,0.03
T-A-044.1,/product_images/image_row_0055.jpg,杰士邦 巨龙环纹6只装（JDG6）,无,盒,21.97,,10只/盒,=G55*F55,48,=J55*G55,6927099414577,0.04
T-A-044.2,/product_images/image_row_0056.jpg,杰士邦 巨龙环纹12只装（JDG12）,无,盒,38.35,,12只/盒,=G56*F56,79.9,=J56*G56,6927099414607,0.05
T-A-045,/product_images/image_row_0057.jpg,杰士邦 物理延时咖啡香3只（JCO3）,无,盒,11.7,,3只/盒,=G57*F57,28,=J57*G57,6927099414362,0.03
T-A-045.1,/product_images/image_row_0058.jpg,杰士邦 物理延时咖啡香6只（JCO6）,无,盒,20.67,,6只/盒,=G58*F58,48,=J58*G58,6927099414393,0.04
T-A-045.2,/product_images/image_row_0059.jpg,杰士邦 物理延时咖啡香12只（JCO12）,无,盒,32.825,,12只/盒,=G59*F59,69.9,=J59*G59,6927099414423,0.05
T-A-046,/product_images/image_row_0060.jpg,杰士邦 大号XXL超薄3只装（JXL3）,无,盒,7.8,,3只/盒,=G60*F60,28,=J60*G60,6927099405476,0.03
T-A-046.1,/product_images/image_row_0061.jpg,杰士邦 大号XXL超薄12只装（JXL12）,无,盒,24.05,,12只/盒,=G61*F61,48,=J61*G61,6927099405490,0.04
T-A-047,/product_images/image_row_0062.jpg,杰士邦 零感玻尿酸超薄1只装,无,盒,3.25,,1只/盒,=G62*F62,18,=J62*G62,8850956033247,0.025
T-A-047.1,/product_images/image_row_0063.jpg,杰士邦 ZERO零感超薄玻尿酸3只装(ZHA3-E),无,盒,11.31,,3只/盒,=G63*F63,28,=J63*G63,8850956033360,0.03
T-A-047.2,/product_images/image_row_0064.jpg,杰士邦 ZERO零感玻尿酸超薄6只装(ZHA6-G),无,盒,20.67,,6只/盒,=G64*F64,48,=J64*G64,8850956133381,0.04
T-A-048,/product_images/image_row_0065.jpg,杰士邦 ZERO零感超薄玻尿酸紧型3只装(ZSM3-A),无,盒,14.95,,3只/盒,=G65*F65,38,=J65*G65,8850956032837,0.03
T-A-048.1,/product_images/image_row_0066.jpg,杰士邦 ZERO零感超薄玻尿酸紧型12只装（ZSM12-A）,无,盒,44.2,,12只/盒,=G66*F66,79.9,=J66*G66,8850956032844,0.05
T-A-049,/product_images/image_row_0067.jpg,第六感 超薄隐形PRO 2只装（酒店定制）,无,盒,2.34,,2只/盒,=G67*F67,25,=J67*G67,6932564457157,0.04
T-A-049.1,/product_images/image_row_0068.jpg,杰士邦 3D巧颗粒2只装（JOC2）,无,盒,5.85,,2只/盒,=G68*F68,25,=J68*G68,6927099421698,0.03
T-A-049.2,/product_images/image_row_0069.jpg,杰士邦 3D巧颗粒8只装（JOC8）,无,盒,22.1,,8只/盒,=G69*F69,49.9,=J69*G69,6927099421728,0.04
T-A-049.3,/product_images/image_row_0070.jpg,杰士邦 3D巧颗粒12只装（JOC12）,无,盒,31.2,,12只/盒,=G70*F70,69.9,=J70*G70,6927099421759,0.04
T-A-050,/product_images/image_row_0071.jpg,第六感 颗粒激点 2只装（酒店定制）,无,盒,2.34,,2只/盒,=G71*F71,25,=J71*G71,6932564457164,0.04
T-A-050.1,/product_images/image_row_0072.jpg,杰士邦 喵舌颗粒多咖啡香3只装（JOOC3）,无,盒,10.725,,3只/盒,=G72*F72,29,=J72*G72,6927099418650,0.03
T-A-050.2,/product_images/image_row_0073.jpg,杰士邦 喵舌颗粒多咖啡香6只装（JOOC6）,无,盒,19.825,,6只/盒,=G73*F73,45,=J73*G73,6927099418681,0.04
T-A-050.3,/product_images/image_row_0074.jpg,杰士邦 喵舌颗粒多咖啡香12只装（JOOC12）,无,盒,34.775,,12只/盒,=G74*F74,77.9,=J74*G74,6927099418711,0.05
T-A-051,/product_images/image_row_0075.jpg,杰士邦 爽滑倍润3只,无,盒,5.85,,3只/盒,=G75*F75,25,=J75*G75,6927099400563,0.018
T-A-051.1,/product_images/image_row_0076.jpg,杰士邦 爽滑倍润10只装（JP10）,无,盒,18.85,,10只/盒,=G76*F76,38,=J76*G76,6927099401379,0.05
T-A-052,/product_images/image_row_0077.jpg,杰士邦 优质超薄3只,无,盒,6.5,,3只/盒,=G77*F77,28,=J77*G77,6927099400211,0.018
T-A-052.1,/product_images/image_row_0078.jpg,杰士邦 优质超薄10只装（JB10）,无,盒,21.06,,10只/盒,=G78*F78,48,=J78*G78,6927099401362,0.05
T-A-053,/product_images/image_row_0079.jpg,杰士邦 敢爱3只装,无,盒,3.77,,3只/盒,=G79*F79,20,=J79*G79,6927099404127,0.02
T-A-053.1,/product_images/image_row_0080.jpg,杰士邦 敢做敢爱8只装（JLL8）,无,盒,10.075,,8只/盒,=G80*F80,38,=J80*G80,6927099415529,0.05
T-A-055,/product_images/image_row_0081.jpg,冈本SKIN系列 超润滑2只装,无,盒,5.525,,2只/盒,=G81*F81,25,=J81*G81,6950428004026,0.045
T-A-056,/product_images/image_row_0082.jpg,杰士邦 3D大颗粒8只装,无,盒,17.68,,8只/盒,=G82*F82,48,=J82*G82,6927099404561,0.045
T-A-056.1,/product_images/image_row_0083.jpg,杰士邦 温馨浮点10只装 (JF10),无,盒,20.54,,10只/盒,=G83*F83,45,=J83*G83,6927099415635,0.05
T-A-057,/product_images/image_row_0084.jpg,杰士邦 动感大颗粒10只,无,盒,14.3,,10只/盒,=G84*F84,38,=J84*G84,6927099406091,0.05
T-A-057.1,/product_images/image_row_0085.jpg,杰士邦 动感大颗粒8只装 (TF8),无,盒,13.975,,8只/盒,=G85*F85,38,=J85*G85,6927099415611,0.05
T-A-057.2,/product_images/image_row_0086.jpg,杰士邦 动感大颗粒3只装（TF3）,无,盒,5.59,,3只/盒,=G86*F86,25,=J86*G86,6927099408538,0.03
T-A-058,/product_images/image_row_0087.jpg,杰士邦 自由派2只装,无,盒,3.12,,2只/盒,=G87*F87,28,=J87*G87,6927099405247,0.012
T-A-059,/product_images/image_row_0088.jpg,杰士邦 3D大颗粒(2只体验装）,无,盒,4.16,,2只/盒,=G88*F88,28,=J88*G88,310606022,0.012
T-A-060,/product_images/image_row_0089.jpg,杰士邦 零感2只装,无,盒,3.575,,2只/盒,=G89*F89,28,=J89*G89,8850956392610,0.015
T-A-061,/product_images/image_row_0090.jpg,杰士邦 超薄6只装（三合一）,无,盒,4.55,,6只/盒,=G90*F90,38,=J90*G90,313816502,0.038
T-A-062,/product_images/image_row_0091.jpg,杰士邦 零感4只 超薄超润体验装,无,盒,6.825,,4只/盒,=G91*F91,38,=J91*G91,731909490,0.035
T-A-063,/product_images/image_row_0092.jpg,杰士邦 动感大颗粒4只（体验装）,无,盒,5.2,,4只/盒,=G92*F92,38,=J92*G92,811506467,0.035
T-A-063.1,/product_images/image_row_0093.jpg,杰士邦 超滑超薄3只装（JG3）,无,盒,7.54,,3只/盒,=G93*F93,18,=J93*G93,6927099402420,0.03
T-A-063.2,/product_images/image_row_0094.jpg,杰士邦 超滑超薄10只装 (JG10),无,盒,19.11,,10只/盒,=G94*F94,38,=J94*G94,6927099415628,0.05
T-A-064,/product_images/image_row_0095.jpg,杰士邦 零感超薄6只装,无,盒,13.91,,6只/盒,=G95*F95,48,=J95*G95,8850956252587,0.04
T-A-064.1,/product_images/image_row_0096.jpg,杰士邦 ZERO零感超薄12只装-泰国(ZT12-N）,无,盒,27.3,,12只/盒,=G96*F96,58,=J96*G96,8850956072512,0.05
T-A-064.2,/product_images/image_row_0097.jpg,杰士邦 ZERO零感超薄3只装-泰国（ZT3-N）,无,盒,7.67,,3只/盒,=G97*F97,28,=J97*G97,8850956032516,0.03
T-A-065,/product_images/image_row_0098.jpg,第六感超薄超滑6只装,无,盒,3.575,,6只/盒,=G98*F98,38,=J98*G98,6932564451445,0.045
T-A-066,/product_images/image_row_0099.jpg,第六感螺纹诱惑6只装（体验装）,无,盒,4.875,,6只/盒,=G99*F99,38,=J99*G99,412206211,0.045
T-A-067,/product_images/image_row_0100.jpg,第六感超薄平滑2只（酒店定制）,无,盒,2.34,,2只/盒,=G100*F100,28,=J100*G100,6932564451230,0.02
T-A-068,/product_images/image_row_0101.jpg,第六感 003·超薄12只装,无,盒,10.4,,12只/盒,=G101*F101,38,=J101*G101,6932564454903,0.045
T-A-069,/product_images/image_row_0102.jpg,第六感 003·超润滑12只装,无,盒,11.7,,12只/盒,=G102*F102,38,=J102*G102,6932564454934,0.045
T-A-070,/product_images/image_row_0103.jpg,第六感超薄平滑10只,无,盒,9.4705,,10只/盒,=G103*F103,38,=J103*G103,6932564420083,0.045
T-A-071,/product_images/image_row_0104.jpg,第六感超薄平滑3只,无,盒,3.51,,3只/盒,=G104*F104,18,=J104*G104,6932564420021,0.02
T-A-072,/product_images/image_row_0105.jpg,第六感螺纹10只,无,盒,9.4705,,10只/盒,=G105*F105,38,=J105*G105,6932564420076,0.05
T-A-073,/product_images/image_row_0106.jpg,第六感螺纹3只,无,盒,3.51,,3只/盒,=G106*F106,18,=J106*G106,6932564420038,0.02
T-A-074,/product_images/image_row_0107.jpg,第六感 颗粒激点3只装,无,盒,3.51,,3只/盒,=G107*F107,25,=J107*G107,6932564420014,0.02
T-A-075,/product_images/image_row_0108.jpg,第六感 颗粒激点10只装,无,盒,9.4705,,10只/盒,=G108*F108,38,=J108*G108,6932564420090,0.045
T-A-076,/product_images/image_row_0109.jpg,第六感 超薄超滑3只装,无,盒,3.25,,3只/盒,=G109*F109,25,=J109*G109,6932564420069,0.02
T-A-077,/product_images/image_row_0110.jpg,第六感 冰火一体3只装,无,盒,3.25,,3只/盒,=G110*F110,25,=J110*G110,6932564420045,0.02
T-A-078,/product_images/image_row_0111.jpg,第六感 冰火一体12只装,无,盒,11.18,,12只/盒,=G111*F111,38,=J111*G111,6932564410046,0.045
T-A-078.1,/product_images/image_row_0112.jpg,第六感 冰火颗粒12只装（LG12-TJ）,无,盒,10.725,,12只/盒,=G112*F112,38,=J112*G112,6932564451339,0.045
T-A-078.2,/product_images/image_row_0113.jpg,第六感 冰火凸点螺纹12只装（LDI12-TJ）,无,盒,10.725,,12只/盒,=G113*F113,38,=J113*G113,6932564451360,0.045
T-A-079,/product_images/image_row_0114.jpg,第六感 嗨口爱 口娇套10只装,无,盒,7.501,,10只/盒,=G114*F114,38,=J114*G114,6932564454316,0.045
T-A-080,/product_images/image_row_0115.jpg,第六感 玻尿酸隐形超薄12只装,无,盒,7.15,,12只/盒,=G115*F115,38,=J115*G115,6932564454224,0.045
T-A-081,/product_images/image_row_0116.jpg,第六感 玻尿酸水润超薄12只装,无,盒,7.54,,12只/盒,=G116*F116,38,=J116*G116,6932564454248,0.045
T-A-082,/product_images/image_row_0117.jpg,第六感 玻尿酸颗粒超薄12只装,无,盒,7.93,,12只/盒,=G117*F117,38,=J117*G117,6932564454262,0.045
T-A-083,/product_images/image_row_0118.jpg,第六感 物理延时3只装（LW3),无,盒,3.77,,3只/盒,=G118*F118,28,=J118*G118,6932564453609,0.03
T-A-083.1,/product_images/image_row_0119.jpg,第六感 物理延时10只装（LW10）,无,盒,8.97,,10只/盒,=G119*F119,38,=J119*G119,6932564453616,0.04
T-A-084,/product_images/image_row_0120.jpg,第六感 玻尿酸003超薄3只装（LNB3X-TJ）,无,盒,3.77,,3只/盒,=G120*F120,28,=J120*G120,6932564457720,0.03
T-A-084.1,/product_images/image_row_0121.jpg,第六感 玻尿酸003超薄10只装（LNB10X-TJ）,无,盒,9.425,,10只/盒,=G121*F121,38,=J121*G121,6932564457140,0.04
T-A-085,/product_images/image_row_0122.jpg,冈本SKIN系列 纯8只,无,盒,15.405,,8只/盒,=G122*F122,48,=J122*G122,4547691732064,0.042
T-A-086,/product_images/image_row_0123.jpg,第六感 玻尿酸003超润滑3只装（LBR3X-TJ）,无,盒,4.16,,3只/盒,=G123*F123,28,=J123*G123,6932564457737,0.03
T-A-086.1,/product_images/image_row_0124.jpg,第六感 玻尿酸003超润滑10只装（LBR10X-TJ）,无,盒,10.27,,10只/盒,=G124*F124,38,=J124*G124,6932564457744,0.04
T-A-087,/product_images/image_row_0125.jpg,第六感 玻尿酸003颗粒3只装（LBK3X-TJ）,无,盒,4.16,,3只/盒,=G125*F125,28,=J125*G125,6932564457751,0.03
T-A-087.1,/product_images/image_row_0126.jpg,第六感 玻尿酸003颗粒10只装(LBK10X-TJ),无,盒,10.27,,10只/盒,=G126*F126,38,=J126*G126,6932564457768,0.04
T-A-088,/product_images/image_row_0127.jpg,第六感 玻尿酸水润超薄2只,无,盒,2.015,,2只/盒,=G127*F127,18,=J127*G127,6932564455313,0.02
T-A-089,/product_images/image_row_0128.jpg,第六感 紧型超薄体验装2只,无,盒,2.08,,2只/盒,=G128*F128,18,=J128*G128,6932564454958,0.02
T-A-091,/product_images/image_row_0129.jpg,冈本SKIN系列 激薄3片体验装,无,盒,4.55,,3只/盒,=G129*F129,28,=J129*G129,无条码,0.03
T-A-092,/product_images/image_row_0130.jpg,Durex-杜蕾斯润薄玻尿酸超薄装12只,无,盒,65,,12只/盒,=G130*F130,99,=J130*G130,6923146100394,0.05
T-A-093,/product_images/image_row_0131.jpg,Durex-杜蕾斯润薄玻尿酸超薄装3只,无,盒,19.825,,3只/盒,=G131*F131,35,=J131*G131,6923146100370,0.03
T-A-094,/product_images/image_row_0132.jpg,Durex-杜蕾斯凸点螺纹装8只,无,盒,40.8785,,8只/盒,=G132*F132,75,=J132*G132,6923146107355,0.05
T-A-094.1,/product_images/image_row_0133.jpg,Durex-杜蕾斯凸点螺纹装12只,无,盒,53.69,,12只/盒,=G133*F133,95,=J133*G133,6923146107072,0.5
T-A-095,/product_images/image_row_0134.jpg,Durex-杜蕾斯凸点螺纹装3只,无,盒,15.99,,3只/盒,=G134*F134,35,=J134*G134,6923146107089,0.03
T-A-096,/product_images/image_row_0135.jpg,Durex-杜蕾斯螺纹装3只,无,盒,15.21,,3只/盒,=G135*F135,29,=J135*G135,6923146198070,0.03
T-A-096.1,/product_images/image_row_0136.jpg,Durex-杜蕾斯螺纹装12只,无,盒,42.12,,12只/盒,=G136*F136,75,=J136*G136,6923146198087,0.5
T-A-096.2,/product_images/image_row_0137.jpg,Durex-杜蕾斯凸点螺纹热感装12只装,无,盒,61.36,,12只/盒,=G137*F137,105,=J137*G137,6923146107379,0.5
T-A-097,/product_images/image_row_0138.jpg,杜蕾斯激情装4只VIP装,无,盒,9.1,,4只/盒,=G138*F138,38,=J138*G138,6923146100325,0.03
T-A-097.1,/product_images/image_row_0139.jpg,Durex-杜蕾斯经典红2只装,无,盒,6.5,,2只/盒,=G139*F139,25,=J139*G139,6923146100585,0.03
T-A-097.2,/product_images/image_row_0140.jpg,Durex-杜蕾斯经典红12只装,无,盒,27.56,,12只/盒,=G140*F140,55,=J140*G140,6923146100561,0.5
T-A-098,/product_images/image_row_0141.jpg,Durex-杜蕾斯003高延伸水性聚氨酯避孕套3只,无,盒,45.825,,3只/盒,=G141*F141,85,=J141*G141,6974214220353,0.03
T-A-099,/product_images/image_row_0142.jpg,Durex-杜蕾斯水润玻尿酸2只装,无,盒,10.66,,2只/盒,=G142*F142,28,=J142*G142,6923146100691,0.03
T-A-099.1,/product_images/image_row_0143.jpg,Durex-杜蕾斯水润玻尿酸12只装,无,盒,42.12,,12只/盒,=G143*F143,75,=J143*G143,6923146100615,0.05
T-A-100,/product_images/image_row_0144.jpg,Durex-杜蕾斯亲昵装12只,无,盒,34.45,,12只/盒,=G144*F144,65,=J144*G144,6923146112281,0.05
T-A-101,/product_images/image_row_0145.jpg,Durex-杜蕾斯love大胆爱吧10只装,无,盒,21.32,,10只/盒,=G145*F145,48,=J145*G145,6923146105016,0.045
T-A-102,/product_images/image_row_0146.jpg,Durex-杜蕾斯love大胆爱吧3只装,无,盒,7.475,,3只/盒,=G146*F146,18,=J146*G146,6923146102046,0.02
T-A-103,/product_images/image_row_0147.jpg,Durex-杜蕾斯活力装12只,无,盒,30.55,,12只/盒,=G147*F147,55,=J147*G147,6923146198063,0.05
T-A-104,/product_images/image_row_0148.jpg,Durex-杜蕾斯活力装3只,无,盒,11.375,,3只/盒,=G148*F148,25,=J148*G148,6923146198162,0.02
T-A-105,/product_images/image_row_0149.jpg,Durex-杜蕾斯激情装3只,无,盒,13.65,,3只/盒,=G149*F149,28,=J149*G149,6923146198094,0.015
T-A-105.1,/product_images/image_row_0150.jpg,Durex-杜蕾斯激情装12只,无,盒,42.12,,12只/盒,=G150*F150,75,=J150*G150,6923146199275,0.05
T-A-105.2,/product_images/image_row_0151.jpg,Durex-杜蕾斯双保险装12只 加厚物理延时,无,盒,53.69,,12只/盒,=G151*F151,95,=J151*G151,6923146100066,0.05
T-A-105.3,/product_images/image_row_0152.jpg,Durex-杜蕾斯大号装12只 大尺寸畅享爱,无,盒,38.35,,12只/盒,=G152*F152,65,=J152*G152,6923146122839,0.05
T-A-106,/product_images/image_row_0153.jpg,Durex-杜蕾斯紧型装12只,无,盒,38.35,,12只/盒,=G153*F153,65,=J153*G153,5052197017199,0.05
T-A-107,/product_images/image_row_0154.jpg,Durex-杜蕾斯挚爱装3只,无,盒,12.22,,3只/盒,=G154*F154,25,=J154*G154,6923146198117,0.015
T-A-107.1,/product_images/image_row_0155.jpg,Durex-杜蕾斯挚爱装12只,无,盒,34.45,,12只/盒,=G155*F155,65,=J155*G155,6923146198018,0.05
T-A-108,/product_images/image_row_0156.jpg,Durex-杜蕾斯超薄装3只隐feel金装,无,盒,15.21,,3只/盒,=G156*F156,35,=J156*G156,6923146100011,0.02
T-A-109,/product_images/image_row_0157.jpg,Durex-杜蕾斯紧型超薄装3只,无,盒,17.55,,3只/盒,=G157*F157,35,=J157*G157,6923146121030,0.03
T-A-109.1,/product_images/image_row_0158.jpg,Durex-杜蕾斯紧型超薄装12只,无,盒,57.46,,12只/盒,=G158*F158,95,=J158*G158,6923146120996,0.05
T-A-110,/product_images/image_row_0159.jpg,Durex-杜蕾斯倍滑超薄装3只,无,盒,17.55,,3只/盒,=G159*F159,35,=J159*G159,6923146120972,0.03
T-A-110.1,/product_images/image_row_0160.jpg,Durex-杜蕾斯倍滑超薄装12只,无,盒,57.46,,12只/盒,=G160*F160,95,=J160*G160,6923146120958,0.05
T-A-111,/product_images/image_row_0161.jpg,Durex-杜蕾斯超薄装12只隐feel超薄隐形,无,盒,49.725,,12只/盒,=G161*F161,85,=J161*G161,6923146100028,0.05
T-A-112,/product_images/image_row_0162.jpg,Durex-杜蕾斯热感超薄装12只,无,盒,57.46,,12只/盒,=G162*F162,95,=J162*G162,6923146106020,0.05
T-A-112.1,/product_images/image_row_0163.jpg,Durex-杜蕾斯热感超薄装3只,无,盒,17.55,,3只/盒,=G163*F163,35,=J163*G163,6923146106013,0.03
T-A-113,/product_images/image_row_0164.jpg,Durex-杜蕾斯AiR隐薄空气套6只,无,盒,65,,6只/盒,=G164*F164,129,=J164*G164,6923146114957,0.05
T-A-114,/product_images/image_row_0165.jpg,Durex-杜蕾斯AiR隐薄空气套3只,无,盒,38.35,,3只/盒,=G165*F165,65,=J165*G165,6923146114940,0.03
T-A-114.1,/product_images/image_row_0166.jpg,Durex-杜蕾斯AIR润薄空气套3只,无,盒,42.12,,3只/盒,=G166*F166,75,=J166*G166,6923146120842,0.03
T-A-115,/product_images/image_row_0167.jpg,Durex-杜蕾斯001水性聚氨酯避孕套3只装,无,盒,61.1,,3只/盒,=G167*F167,138,=J167*G167,6974214220087,0.03
T-A-116,/product_images/image_row_0168.jpg,倍力乐 G点潜水龙,无,盒,4.68,,3只/盒,=G168*F168,38,=J168*G168,6971787075588,0.04
